"player","team","position","status","photo","event_points","form","now_cost","points_per_game","selected_by_percent","total_points","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","influence","creativity","threat","ict_index","expected_goals_per_90","saves_per_90","expected_assists_per_90","expected_goal_involvements_per_90","expected_goals_conceded_per_90","goals_conceded_per_90","starts_per_90","clean_sheets_per_90","cluster","rec"
"Jurriën Timber","Arsenal","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p445122.png",0,0,4.6,0,0.4,0,49,0,0,0,0,0,0,0,1,0,0,0,3.6,2.4,0,0.6,0,0,0.02,0.02,0.51,0,1.84,0,4,"Not recommended"
"Alexandre Moreno Lopera","Aston Villa","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p106468.png",1,3,5,2.1,1.4,15,265,1,0,0,7,0,0,0,0,0,0,2,82.6,57.9,91,23.1,0.29,0,0.21,0.5,1.01,2.38,0.68,0,2,"Not recommended"
"Matty Cash","Aston Villa","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p199796.png",0,0.8,4.7,2.9,17.3,50,1262,2,1,3,18,1,0,0,5,0,0,4,292.6,135.4,284,71.2,0.27,0,0.12,0.39,1.22,1.28,1.07,0.21,5,"Can be alternative"
"Diego Carlos Santos Silva","Aston Villa","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p165659.png",1,0.8,4.4,1.9,0.7,26,903,0,0,2,15,0,0,0,2,0,0,1,185,41.7,63,28.9,0.06,0,0.03,0.09,1.3,1.5,1,0.2,8,"Not recommended"
"Lucas Digne","Aston Villa","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p101188.png",0,1.8,4.6,3.1,3.3,56,1521,0,3,5,20,0,0,0,5,0,0,2,278.2,467.3,122,86.8,0.02,0,0.16,0.18,1.3,1.18,1.07,0.3,5,"Can be alternative"
"Ezri Konsa Ngoyo","Aston Villa","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p199798.png",0,0.8,4.6,2.5,3.2,51,1758,0,1,4,27,0,0,0,5,0,0,4,324.2,101.8,120,54.8,0.09,0,0.04,0.13,1.28,1.38,1.02,0.2,5,"Can be alternative"
"Tyrone Mings","Aston Villa","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p149484.png",0,0,4.1,0,1.2,0,30,0,0,0,2,0,0,0,0,0,0,0,3.6,13,5,2.2,0.03,0,0.48,0.51,3.24,6,3,0,4,"Not recommended"
"Pau Torres","Aston Villa","Defender","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p244954.png",1,0.8,4.7,3.4,5.1,61,1517,2,0,4,20,0,0,0,1,0,0,4,313.2,122.2,103,53.9,0.05,0,0.03,0.08,1.29,1.19,0.95,0.24,5,"Can be alternative"
"Clément Lenglet","Aston Villa","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p171101.png",2,2,4.5,2.7,0.1,8,241,0,1,0,5,0,0,0,0,0,0,0,49.8,29.8,8,8.7,0,0,0.16,0.16,0.93,1.87,1.12,0,4,"Not recommended"
"Lloyd Kelly","Bournemouth","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p235530.png",0,0,4.5,2.2,0,20,681,0,0,2,14,0,0,0,1,0,0,3,119.6,68.5,8,19.5,0.02,0,0.02,0.04,1.45,1.85,1.06,0.26,6,"Not recommended"
