"player","team","position","status","photo","event_points","form","now_cost","points_per_game","selected_by_percent","total_points","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","influence","creativity","threat","ict_index","expected_goals_per_90","saves_per_90","expected_assists_per_90","expected_goal_involvements_per_90","expected_goals_conceded_per_90","goals_conceded_per_90","starts_per_90","clean_sheets_per_90","cluster","rec"
"Yasser Larouci","Sheffield Utd","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p432990.png",0,0,4.3,0.7,0,4,276,0,0,0,7,0,0,0,1,0,0,0,52.4,2.9,31,8.6,0.06,0,0.01,0.07,2.39,2.28,0.65,0,4,"Not recommended"
"Luke Thomas","Sheffield Utd","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p244619.png",1,0.2,4,0.6,0.1,7,916,0,0,0,29,0,0,0,3,0,0,0,127.8,53.9,64,24.7,0.05,0,0.02,0.07,2.13,2.85,1.08,0,4,"Not recommended"
"Ben Davies","Spurs","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p115556.png",2,3.8,4.3,2.1,0.5,29,898,1,1,1,16,0,0,0,1,0,0,0,266.6,41,77,38.7,0.18,0,0.03,0.21,1.99,1.6,1,0.1,8,"Not recommended"
"Emerson Leite de Souza Junior","Spurs","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p241157.png",1,1.8,4.4,1.5,0.8,22,777,1,0,0,20,0,0,0,3,0,0,4,233.4,64.5,35,33.5,0.02,0,0.08,0.1,2.44,2.32,0.81,0,8,"Not recommended"
"Pedro Porro","Spurs","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p441164.png",2,4.2,5.8,4.1,31.5,77,1707,0,7,5,27,0,0,0,3,0,0,11,479.2,554.4,187,122.2,0.11,0,0.22,0.33,1.76,1.42,1,0.26,7,"Recommended"
"Ivan Perišić","Spurs","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p45034.png",0,0,4.7,1.2,0.8,6,98,0,1,0,1,0,0,0,2,0,0,0,41.6,71.2,27,14,0.11,0,0.73,0.84,1.32,0.92,0,0,2,"Not recommended"
"Sergio Reguilón","Spurs","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p199249.png",1,0.5,4.4,2,0.3,18,409,0,0,2,7,0,0,0,3,0,0,2,70.6,120.8,29,22.1,0.04,0,0.13,0.17,1.31,1.54,0.88,0.44,6,"Not recommended"
"Cristian Romero","Spurs","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p221632.png",0,2,4.9,4.1,6.8,62,1170,3,0,5,14,1,0,0,4,1,0,11,391.6,88.2,98,58,0.08,0,0.05,0.13,1.89,1.08,1.15,0.38,5,"Can be alternative"
"Destiny Udogie","Spurs","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p487053.png",2,1.8,4.8,2.8,9.6,47,1412,1,2,4,25,0,0,0,5,1,0,5,314.2,210.4,182,70.7,0.11,0,0.08,0.19,2.06,1.59,1.08,0.25,5,"Can be alternative"
"Micky van de Ven","Spurs","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p491279.png",0,0,4.4,3.9,1.2,43,945,1,0,4,10,0,0,0,1,0,0,4,206.6,14,32,25.4,0.03,0,0.01,0.04,1.3,0.95,1.05,0.38,6,"Not recommended"
"Nayef Aguerd","West Ham","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p210494.png",0,1.5,4.5,2.1,0.6,33,1416,1,0,2,29,0,0,0,1,1,0,0,332,41.6,121,49.6,0.07,0,0.02,0.09,1.78,1.84,1.02,0.13,8,"Not recommended"
"Vladimír Coufal","West Ham","Defender","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p164555.png",0,4.5,4.7,3.3,4,62,1706,0,5,4,30,0,0,0,4,0,0,6,411.6,290.4,34,73.7,0,0,0.09,0.09,1.73,1.58,1,0.21,5,"Can be alternative"
"Aaron Cresswell","West Ham","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p55459.png",0,0,4.2,0.7,0.3,2,130,0,0,0,4,0,0,0,1,0,0,0,15.2,22.1,0,3.8,0,0,0.1,0.1,1.32,2.77,1.38,0,4,"Not recommended"
"Emerson Palmieri dos Santos","West Ham","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p109533.png",6,7,4.5,2.8,3,54,1665,0,2,5,26,0,0,0,7,0,0,6,310.4,216,95,62.2,0.04,0,0.08,0.12,1.81,1.41,0.97,0.27,5,"Can be alternative"
"Ben Johnson","West Ham","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p222018.png",5,1.5,4.4,3,0.1,6,91,0,0,1,0,0,0,0,1,0,0,0,12.4,2.7,2,1.8,0,0,0.01,0.01,2.45,0,0.99,0.99,6,"Not recommended"
"Kurt Zouma","West Ham","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p103192.png",0,2.8,4.5,2.8,1.5,44,1413,1,0,3,25,0,0,0,2,0,0,4,284.8,17.4,113,41.5,0.07,0,0,0.07,1.73,1.59,1.02,0.19,8,"Not recommended"
"Angelo Ogbonna","West Ham","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p40669.png",6,3,4.3,2.8,0.1,17,318,0,0,2,2,0,0,0,0,0,0,0,82.2,0.7,0,8.3,0,0,0,0,2.18,0.57,0.85,0.57,6,"Not recommended"
"Konstantinos Mavropanos","West Ham","Defender","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p233963.png",6,6.8,4.5,4,0.2,28,496,1,0,3,6,1,0,0,1,0,0,3,106.2,15.8,56,17.7,0.07,0,0.01,0.08,1.74,1.09,0.91,0.54,6,"Not recommended"
"Rayan Aït-Nouri","Wolves","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p448514.png",5,3.8,4.5,1.6,0.3,28,1146,0,0,2,18,0,0,0,5,0,0,1,188.6,172.1,68,42.7,0.09,0,0.07,0.16,1.48,1.41,1.18,0.16,8,"Not recommended"
"Hugo Bueno López","Wolves","Defender","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p490721.png",1,0.5,4.4,1.6,0.1,19,389,0,0,2,7,1,0,0,1,0,0,0,76.4,74.4,25,17.4,0.07,0,0.06,0.13,1.46,1.62,0.93,0.46,1,"Not recommended"
"Craig Dawson","Wolves","Defender","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p60232.png",14,5.5,4.5,2.8,0.9,50,1579,1,0,4,26,0,0,0,5,0,0,5,420.8,63,170,65.4,0.07,0,0.02,0.09,1.49,1.48,1.03,0.23,5,"Can be alternative"
"Jonathan Castro Otto","Wolves","Defender","not available","https://resources.premierleague.com/premierleague/photos/players/250x250/p114128.png",0,0,4.3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.5,0,0,0,0,1.58,0,0,0,3,"Not recommended"
"Max Kilman","Wolves","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p214048.png",13,4.2,4.5,2.4,0.9,48,1800,1,0,3,31,0,0,0,4,0,0,3,432.4,138.4,118,69.1,0.04,0,0.02,0.06,1.6,1.55,1,0.15,5,"Can be alternative"
"Nélson Cabral Semedo","Wolves","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p200402.png",6,2.8,4.5,2.1,0.7,40,1635,0,1,3,30,0,0,0,4,0,0,0,279.6,184.1,74,53.9,0.02,0,0.04,0.06,1.68,1.65,1.05,0.17,8,"Not recommended"
"Toti António Gomes","Wolves","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p510362.png",6,3.2,4.4,2.5,0.3,43,1282,0,2,2,18,0,0,0,1,0,0,3,264.6,47.8,76,39.1,0.05,0,0.01,0.06,1.46,1.26,0.98,0.14,8,"Not recommended"
"Matt Doherty","Wolves","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p87835.png",1,2.8,4.3,1.4,0.2,20,415,1,0,0,8,0,0,0,1,0,0,1,100.4,79,63,24.2,0.12,0,0.1,0.22,1.98,1.73,0.22,0,8,"Not recommended"
"Santiago Bueno","Wolves","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p231480.png",0,0.8,4.5,1.3,0,4,200,0,0,0,5,0,0,0,0,0,0,0,49,0.9,0,5,0,0,0,0,2.59,2.25,0.9,0,4,"Not recommended"
"Mohamed Elneny","Arsenal","Midfielder","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p153256.png",0,0,4.4,4,0.1,4,1,0,1,0,0,0,0,0,0,0,0,0,1.8,0.5,2,0.4,0,0,0,0,0,0,0,0,3,"Not recommended"
"Fábio Ferreira Vieira","Arsenal","Midfielder","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p438098.png",0,0,5.4,2.6,0.1,21,236,1,3,1,2,0,0,0,0,1,0,0,79.4,63.6,77,21.9,0.46,0,0.13,0.59,0.56,0.76,0.76,0.38,1,"Not recommended"
"Kai Havertz","Arsenal","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p219847.png",2,2.8,7.1,2.7,1.6,52,1168,4,1,4,14,0,0,0,5,0,0,0,219.4,222,278,72,0.32,0,0.08,0.4,0.78,1.08,1,0.31,2,"Not recommended"
"Jorge Luiz Frello Filho","Arsenal","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p85955.png",0,0,5.3,1.4,0.2,15,383,0,0,1,6,0,0,0,1,0,0,0,50.6,64.7,9,12.4,0.02,0,0.07,0.09,1.1,1.41,0.94,0.23,5,"Not recommended"
"Gabriel Martinelli Silva","Arsenal","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p444145.png",5,3,7.7,3.2,5.4,57,1285,2,3,5,17,0,0,0,1,0,0,0,239,457.4,458,114.9,0.17,0,0.2,0.37,0.75,1.19,1.19,0.35,4,"Can be alternative"
"Martin Ødegaard","Arsenal","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p184029.png",2,3.8,8.5,4.9,17.2,83,1509,4,4,6,17,0,0,0,1,0,0,12,407.2,667.2,384,145.8,0.24,0,0.25,0.49,0.89,1.01,1.01,0.36,4,"Can be alternative"
"Thomas Partey","Arsenal","Midfielder","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p167199.png",0,0,4.8,1.8,0.1,7,250,0,0,1,2,0,0,0,0,0,0,0,55.8,60,15,13.1,0.03,0,0.08,0.11,0.91,0.72,1.08,0.36,5,"Not recommended"
"Bukayo Saka","Arsenal","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p223340.png",7,3.2,9.1,5.6,62.2,107,1663,6,8,6,20,0,0,0,2,0,0,11,557.4,751.7,681,199.2,0.37,0,0.35,0.72,0.86,1.08,1.03,0.32,6,"Recommended"
"Emile Smith Rowe","Arsenal","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p209289.png",0,0.5,5.3,1.8,0.1,11,116,0,1,1,0,0,0,0,0,0,0,0,44,18.5,65,12.6,0.75,0,0.05,0.8,0.76,0,0.78,0.78,1,"Not recommended"
"Leandro Trossard","Arsenal","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p116216.png",1,1.2,6.5,2.9,1.7,47,657,3,1,2,6,0,0,0,0,0,0,6,182.2,200.8,293,67.5,0.42,0,0.21,0.63,0.85,0.82,0.82,0.27,1,"Not recommended"
"Declan Rice","Arsenal","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p204480.png",2,2,5.4,3.5,5.1,69,1743,3,1,7,19,0,0,0,2,0,0,7,451.6,273.1,170,89.5,0.08,0,0.06,0.14,0.83,0.98,1.03,0.36,2,"Not recommended"
"Reiss Nelson","Arsenal","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p200641.png",1,0.5,4.8,0.9,0,8,102,0,0,0,0,0,0,0,1,0,0,0,20.6,41.2,13,7.4,0.04,0,0.29,0.33,1.51,0,0,0,3,"Not recommended"
"Leon Bailey","Aston Villa","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p215711.png",8,3.8,5.7,4.1,4,74,859,6,5,3,13,0,0,0,3,0,0,5,342.8,265.9,307,91.5,0.31,0,0.33,0.64,1.38,1.36,0.84,0.31,4,"Can be alternative"
"Leander Dendoncker","Aston Villa","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p151589.png",1,3.8,4.9,2.5,0,20,118,1,1,0,3,0,0,0,0,0,0,3,59.2,3.9,37,10,0.56,0,0.01,0.57,1.21,2.29,0.76,0,1,"Not recommended"
"Douglas Luiz Soares de Paulo","Aston Villa","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p230046.png",10,5,5.6,4.9,10.1,94,1653,6,3,4,26,0,0,0,5,0,0,18,479.4,443.3,242,116.5,0.27,0,0.13,0.4,1.31,1.42,1.03,0.22,4,"Can be alternative"
"Tim Iroegbunam","Aston Villa","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p490094.png",0,0.2,4.4,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,2.02,0,0,0,3,"Not recommended"
"Boubacar Kamara","Aston Villa","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p226944.png",0,0.5,5,1.9,0.1,31,1347,0,1,5,18,0,0,0,6,1,0,1,215.4,263.9,36,51.7,0.01,0,0.08,0.09,1.28,1.2,1.07,0.33,2,"Not recommended"
"John McGinn","Aston Villa","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p122806.png",1,3,5.6,3.9,1.9,78,1706,5,2,4,25,0,0,0,5,0,0,8,407.2,450.9,247,110.7,0.16,0,0.16,0.32,1.19,1.32,1.06,0.21,4,"Can be alternative"
"Jacob Ramsey","Aston Villa","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p232653.png",1,1.5,5.9,1.7,0.1,17,478,1,0,0,7,0,0,0,2,0,0,0,78.4,84.1,104,26.8,0.14,0,0.16,0.3,0.99,1.32,0.75,0,5,"Not recommended"
"Youri Tielemans","Aston Villa","Midfielder","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p166989.png",0,0,5.6,1.8,0.4,29,555,0,3,1,7,0,0,0,0,0,0,0,122,106.3,42,27.2,0.04,0,0.12,0.16,1.6,1.14,0.65,0.16,5,"Not recommended"
"Bertrand Traoré","Aston Villa","Midfielder","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p110504.png",0,0,5,1,0,2,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.3,0,0,0,0,6.93,0,0,0,3,"Not recommended"
"Moussa Diaby","Aston Villa","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p243557.png",7,3.2,6.6,4.2,9.3,85,1286,4,7,4,20,0,0,0,0,0,0,5,298.2,363.2,435,109.6,0.3,0,0.19,0.49,1.14,1.4,1.12,0.28,4,"Can be alternative"
"Nicolò Zaniolo","Aston Villa","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p245414.png",0,1.8,5.4,1.3,0.1,17,497,1,0,1,7,0,0,0,4,0,0,0,71,72.4,222,36.1,0.3,0,0.1,0.4,1.29,1.27,1.27,0.18,5,"Not recommended"
"Philip Billing","Bournemouth","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p168991.png",1,2.3,5.2,2.8,0.4,50,1161,2,3,1,30,0,0,0,3,0,0,3,266.2,243.8,217,72.7,0.16,0,0.13,0.29,1.94,2.33,0.93,0.08,2,"Not recommended"
"David Brooks","Bournemouth","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p111317.png",1,2,4.7,1.8,0.1,22,250,1,1,0,4,0,0,0,1,0,0,2,82.2,93.9,105,28.1,0.7,0,0.15,0.85,1.95,1.44,0.72,0,1,"Not recommended"
"Ryan Christie","Bournemouth","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p158499.png",2,2,5,2.5,0.1,47,1480,0,2,5,28,0,0,0,2,0,0,3,271.2,323.4,212,80.9,0.05,0,0.14,0.19,1.49,1.7,1.09,0.3,2,"Not recommended"
"Lewis Cook","Bournemouth","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p155408.png",2,1,5,2.1,0,30,1089,0,1,4,21,0,0,0,1,1,0,2,208.4,284.6,20,51.4,0.01,0,0.1,0.11,1.92,1.74,1.07,0.33,2,"Not recommended"
"Justin Kluivert","Bournemouth","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p222683.png",1,3,4.6,2.6,0.4,39,804,2,0,5,10,0,0,0,2,0,0,2,130.2,152.7,195,47.9,0.13,0,0.1,0.23,1.43,1.12,1.23,0.56,2,"Not recommended"
"Dango Ouattara","Bournemouth","Midfielder","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p533463.png",1,2,4.7,1.2,0,16,451,0,0,2,8,0,0,0,2,0,0,0,92.2,89.3,124,30.8,0.24,0,0.1,0.34,1.22,1.6,1,0.4,5,"Not recommended"
"Joe Rothwell","Bournemouth","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p156685.png",0,0.3,4.8,1.2,0,13,380,0,0,0,12,0,0,0,0,0,0,0,45.8,63.9,5,11.6,0.01,0,0.05,0.06,2.66,2.84,0.71,0,3,"Not recommended"
"Marcus Tavernier","Bournemouth","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p201658.png",6,3.7,5.4,3.8,0.8,60,1170,2,4,5,22,0,0,0,1,0,0,5,302,350,282,93.4,0.21,0,0.18,0.39,1.43,1.69,1.08,0.38,4,"Can be alternative"
"Hamed Traorè","Bournemouth","Midfielder","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p424044.png",0,0,4.7,1,0,3,44,0,0,0,1,0,0,0,0,0,0,0,12.8,14.8,30,5.7,0.35,0,0.02,0.37,1.72,2.05,0,0,3,"Not recommended"
"Alex Scott","Bournemouth","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p503139.png",6,5,4.9,3,0,18,341,1,1,1,8,0,0,0,2,0,0,3,97.8,72.5,29,19.8,0.06,0,0.11,0.17,1.14,2.11,1.06,0.26,5,"Not recommended"
"Luis Sinisterra","Bournemouth","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p224995.png",2,3,5.5,2.3,0,28,358,2,1,1,8,0,0,0,0,0,0,0,146,124.6,160,43.1,0.39,0,0.13,0.52,1.6,2.01,0.5,0.25,1,"Not recommended"
"Shandon Baptiste","Brentford","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p432160.png",0,0,4.3,2.4,1,12,188,1,0,0,5,0,0,0,0,0,0,0,63.8,24.7,39,12.6,0.34,0,0.13,0.47,1.38,2.39,0.96,0,1,"Not recommended"
"Mikkel Damsgaard","Brentford","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p440089.png",1,1.7,4.8,1.3,0,9,233,0,0,1,1,0,0,0,0,0,0,0,48,64,45,15.7,0.17,0,0.1,0.27,0.95,0.39,0.39,0.39,5,"Not recommended"
"Josh Dasilva","Brentford","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p183656.png",0,0,4.7,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0.7,0,0,0,3,"Not recommended"
"Vitaly Janelt","Brentford","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p204580.png",2,1.7,5.3,2.4,0.1,45,1545,0,2,4,24,0,0,0,3,0,0,1,243.8,336.1,182,76.2,0.07,0,0.12,0.19,1.21,1.4,1.11,0.23,2,"Not recommended"
"Mathias Jensen","Brentford","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p207283.png",2,1,5.4,4.4,0.8,61,990,3,3,5,17,0,0,0,2,0,0,8,272.2,324.2,89,68.4,0.05,0,0.22,0.27,1.34,1.55,1.18,0.45,2,"Not recommended"
"Keane Lewis-Potter","Brentford","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p249231.png",7,6,4.7,2.6,0.1,34,572,2,1,1,14,0,0,0,0,0,0,1,130,80,226,43.4,0.42,0,0.13,0.55,1.36,2.2,0.94,0.16,1,"Not recommended"
"Bryan Mbeumo","Brentford","Midfielder","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p446008.png",0,0,6.8,5.8,6.8,87,1286,7,4,3,20,0,0,0,1,0,0,9,384.2,397.6,440,122.1,0.59,0,0.27,0.86,1.31,1.4,1.05,0.21,4,"Can be alternative"
"Christian Nørgaard","Brentford","Midfielder","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p128295.png",2,1.3,5.4,2.3,0.1,42,1546,1,1,3,29,0,0,0,7,0,0,2,308.8,249.8,210,77.1,0.13,0,0.11,0.24,1.35,1.69,1.05,0.17,2,"Not recommended"
"Frank Onyeka","Brentford","Midfielder","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p428580.png",1,0.3,4.9,1.2,0,20,732,0,1,1,17,0,0,0,5,0,0,0,138.4,122.7,101,36.1,0.17,0,0.16,0.33,1.47,2.09,0.74,0.12,5,"Not recommended"
"Kevin Schade","Brentford","Midfielder","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p513418.png",0,0,5.3,3.8,0.1,19,255,1,1,1,2,0,0,0,0,0,0,2,48.2,42,62,15.1,0.28,0,0.12,0.4,0.83,0.71,1.06,0.35,1,"Not recommended"
"Yegor Yarmoliuk","Brentford","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p508395.png",1,0.7,4.3,1.3,0.6,14,345,0,0,2,5,0,0,0,1,0,0,0,48.6,37.5,67,15.3,0.18,0,0.02,0.2,1.46,1.3,1.04,0.52,5,"Not recommended"
"Michael Olakigbe","Brentford","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p501284.png",1,1,4.5,1,0,8,51,0,0,0,0,0,0,0,0,0,0,0,4.8,4.1,27,3.5,0.25,0,0.04,0.29,1.24,0,0,0,3,"Not recommended"
"Saman Ghoddos","Brentford","Midfielder","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p205836.png",1,1.3,4.5,1.5,0,21,691,1,0,0,17,0,0,0,5,0,0,0,132,162.4,45,34.1,0.04,0,0.12,0.16,1.4,2.21,0.91,0,5,"Not recommended"
"Myles Peart-Harris","Brentford","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p450539.png",0,0.3,4.5,1,0,3,11,0,0,0,0,0,0,0,0,0,0,0,2.2,10.9,2,1.5,0,0,0,0,0.57,0,0,0,3,"Not recommended"
"Simon Adingra","Brighton","Midfielder","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p535818.png",0,0.8,5,3.3,0.5,56,1139,4,1,0,23,0,0,0,2,0,0,6,276.8,271.9,345,89.2,0.18,0,0.11,0.29,1.5,1.82,1.03,0,2,"Not recommended"
"Facundo Buonanotte","Brighton","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p536916.png",3,1.2,4.7,1.7,0,20,500,1,1,1,6,0,0,0,4,0,0,1,92.4,132.1,81,30.6,0.1,0,0.09,0.19,1.5,1.08,1.08,0.18,5,"Not recommended"
"Mahmoud Dahoud","Brighton","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p168090.png",0,0,4.8,1.6,0.1,14,449,0,1,1,6,0,0,0,1,1,0,0,70.4,127.2,24,21.7,0.04,0,0.11,0.15,1.03,1.2,1.2,0.2,5,"Not recommended"
"Julio Enciso","Brighton","Midfielder","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p474120.png",0,0,5.1,4,0.4,8,68,0,2,0,1,0,0,0,1,0,0,0,39,25,30,9.4,0.26,0,0.77,1.03,2.67,1.32,1.32,0,1,"Not recommended"
"Billy Gilmour","Brighton","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p243568.png",3,2,4.9,2.3,0.3,44,1275,0,3,3,23,0,0,0,4,0,0,4,194.6,347.4,83,62.5,0.05,0,0.13,0.18,1.66,1.62,0.99,0.21,2,"Not recommended"
"Pascal Groß","Brighton","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p60307.png",3,3.2,6.5,4.6,6.2,82,1551,3,6,2,23,0,0,0,3,0,0,15,539.4,789.7,296,162.6,0.19,0,0.24,0.43,1.51,1.33,0.99,0.12,4,"Can be alternative"
"Adam Lallana","Brighton","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p39155.png",1,1,4.9,1.3,0,18,496,0,1,1,8,0,0,0,1,0,0,0,54,146.2,76,27.6,0.05,0,0.15,0.2,1.48,1.45,1.45,0.18,5,"Not recommended"
"Solly March","Brighton","Midfielder","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p109345.png",0,0,6.1,5.6,2.2,39,555,3,1,2,11,0,0,0,1,0,0,6,197.4,126.5,139,46.4,0.34,0,0.16,0.5,1.7,1.78,1.14,0.32,1,"Not recommended"
"James Milner","Brighton","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p15157.png",3,2.5,4.8,1.8,0.1,24,679,0,2,3,10,0,0,0,3,0,0,0,144,235.2,46,42.6,0.03,0,0.28,0.31,1.38,1.33,1.19,0.4,5,"Not recommended"
"Kaoru Mitoma","Brighton","Midfielder","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p451340.png",0,0.8,6.4,3.7,14.7,63,1320,3,5,0,25,0,0,0,4,0,0,7,294.2,346.3,547,118.9,0.22,0,0.23,0.45,1.56,1.7,0.89,0,4,"Can be alternative"
"Jakub Moder","Brighton","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p243505.png",1,0.5,4.4,0.8,0.1,4,63,0,0,0,2,0,0,0,1,0,0,0,13,24.2,6,4.4,0.59,0,0.2,0.79,2.26,2.86,0,0,1,"Not recommended"
"Jack Hinshelwood","Brighton","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p532529.png",3,4,4.5,3.3,0.1,30,616,2,0,1,14,0,0,0,1,0,0,5,141,72.1,197,41,0.3,0,0.04,0.34,1.62,2.05,0.88,0.15,2,"Not recommended"
"Carlos Baleba","Brighton","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p535301.png",0,0.2,4.5,1.1,0.1,13,550,0,0,0,14,0,0,0,3,0,0,0,96.4,69.2,24,19,0.07,0,0.01,0.08,1.73,2.29,1.15,0,5,"Not recommended"
"Anssumane Fati Vieira","Brighton","Midfielder","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p465607.png",0,0,6.4,2.3,0.3,21,286,2,0,1,6,0,0,0,1,0,0,1,97,54.5,176,32.7,0.86,0,0.09,0.95,1.21,1.89,0.63,0.31,1,"Not recommended"
"Benicio Baker-Boaitey","Brighton","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p475480.png",0,0,4.5,1,0,2,12,0,0,0,0,0,0,0,0,0,0,0,3.6,1,0,0.4,0,0,0.22,0.22,0.82,0,0,0,3,"Not recommended"
"Manuel Benson Hedilazio","Burnley","Midfielder","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p183751.png",0,0.2,5.2,1,0.1,4,73,0,0,0,3,0,0,0,0,0,0,0,8,9.1,22,4,0.04,0,0.02,0.06,4.14,3.7,1.23,0,3,"Not recommended"
